ProductKey,ProductAlternateKey,EnglishProductName,UnitPrice,StandardCost,ProductSubcategoryKey,ListPrice,DealerPrice,,,
1,AR-5381,Adjustable Race,,,,,,,ProductKey,int
2,BA-8327,Bearing Ball,,,,,,,ProductAlternateKey,text
3,BE-2349,BB Ball Bearing,,,,,,,EnglishProductName,text
4,BE-2908,Headset Ball Bearings,,,,,,,UnitPrice,"decimal(10,2)"
5,BL-2036,Blade,,,,,,,StandardCost,"decimal(10,2)"
6,CA-5965,LL Crankarm,,,,,,,ProductSubcategoryKey,int
7,CA-6738,ML Crankarm,,,,,,,ListPrice,"decimal(10,2)"
8,CA-7457,HL Crankarm,,,,,,,DealerPrice,"decimal(10,2)"
9,CB-2903,Chainring Bolts,,,,,,,,
10,CN-6137,Chainring Nut,,,,,,,,
11,CR-7833,Chainring,,,,,,,,
12,CR-9981,Crown Race,,,,,,,,
13,CS-2812,Chain Stays,,,,,,,,
14,DC-8732,Decal 1,,,,,,,,
15,DC-9824,Decal 2,,,,,,,,
16,DT-2377,Down Tube,,,,,,,,
17,EC-M092,Mountain End Caps,,,,,,,,
18,EC-R098,Road End Caps,,,,,,,,
19,EC-T209,Touring End Caps,,,,,,,,
20,FE-3760,Fork End,,,,,,,,
21,FH-2981,Freewheel,,,,,,,,
22,FW-1000,Flat Washer 1,,,,,,,,
23,FW-1200,Flat Washer 6,,,,,,,,
24,FW-1400,Flat Washer 2,,,,,,,,
25,FW-3400,Flat Washer 9,,,,,,,,
26,FW-3800,Flat Washer 4,,,,,,,,
27,FW-5160,Flat Washer 3,,,,,,,,
28,FW-5800,Flat Washer 8,,,,,,,,
29,FW-7160,Flat Washer 5,,,,,,,,
30,FW-9160,Flat Washer 7,,,,,,,,
31,FC-3654,Fork Crown,,,,,,,,
32,FC-3982,Front Derailleur Cage,,,,,,,,
33,FL-2301,Front Derailleur Linkage,,,,,,,,
34,GP-0982,Guide Pulley,,,,,,,,
35,GT-0820,LL Grip Tape,,,,,,,,
36,GT-1209,ML Grip Tape,,,,,,,,
37,GT-2908,HL Grip Tape,,,,,,,,
38,HJ-1213,Thin-Jam Hex Nut 9,,,,,,,,
39,HJ-1220,Thin-Jam Hex Nut 10,,,,,,,,
40,HJ-1420,Thin-Jam Hex Nut 1,,,,,,,,
41,HJ-1428,Thin-Jam Hex Nut 2,,,,,,,,
42,HJ-3410,Thin-Jam Hex Nut 15,,,,,,,,
43,HJ-3416,Thin-Jam Hex Nut 16,,,,,,,,
44,HJ-3816,Thin-Jam Hex Nut 5,,,,,,,,
45,HJ-3824,Thin-Jam Hex Nut 6,,,,,,,,
46,HJ-5161,Thin-Jam Hex Nut 3,,,,,,,,
47,HJ-5162,Thin-Jam Hex Nut 4,,,,,,,,
48,HJ-5811,Thin-Jam Hex Nut 13,,,,,,,,
49,HJ-5818,Thin-Jam Hex Nut 14,,,,,,,,
50,HJ-7161,Thin-Jam Hex Nut 7,,,,,,,,
51,HJ-7162,Thin-Jam Hex Nut 8,,,,,,,,
52,HJ-9080,Thin-Jam Hex Nut 12,,,,,,,,
53,HJ-9161,Thin-Jam Hex Nut 11,,,,,,,,
54,HN-1024,Hex Nut 5,,,,,,,,
55,HN-1032,Hex Nut 6,,,,,,,,
56,HN-1213,Hex Nut 16,,,,,,,,
57,HN-1220,Hex Nut 17,,,,,,,,
58,HN-1224,Hex Nut 7,,,,,,,,
