ProductKey,OrderDateKey,DueDateKey,ShipDateKey,CustomerKey,SalesTerritoryKey,SalesOrderNumber,OrderQuantity,UnitPrice,ExtendedAmount,DiscountAmount,ProductStandardCost,SalesAmount,TaxAmt,Freight
353,2012-12-31,2013-01-12,2013-01-07,11345,7,SO51224,1,2319.99,2319.99,0,1265.6195,2319.99,185.5992,57.9998
537,2012-12-31,2013-01-12,2013-01-08,11345,7,SO51224,1,35,35,0,13.09,35,2.8,0.875
581,2012-12-31,2013-01-12,2013-01-09,20982,10,SO51225,1,1700.99,1700.99,0,1082.51,1700.99,136.0792,42.5248
490,2012-12-31,2013-01-12,2013-01-10,20982,10,SO51225,1,53.99,53.99,0,41.5723,53.99,4.3192,1.3498
225,2012-12-31,2013-01-12,2013-01-11,20982,10,SO51225,1,8.99,8.99,0,6.9223,8.99,0.7192,0.2248
380,2012-12-31,2013-01-12,2013-01-12,22822,10,SO51226,1,2443.35,2443.35,0,1554.9479,2443.35,195.468,61.0838
540,2012-12-31,2013-01-12,2013-01-13,22822,10,SO51226,1,32.6,32.6,0,12.1924,32.6,2.608,0.815
378,2012-12-31,2013-01-12,2013-01-14,25793,8,SO51227,1,2443.35,2443.35,0,1554.9479,2443.35,195.468,61.0838
529,2012-12-31,2013-01-12,2013-01-15,25793,8,SO51227,1,3.99,3.99,0,1.4923,3.99,0.3192,0.0998
540,2012-12-31,2013-01-12,2013-01-16,25793,8,SO51227,1,32.6,32.6,0,12.1924,32.6,2.608,0.815
355,2012-12-31,2013-01-12,2013-01-17,11402,7,SO51228,1,2319.99,2319.99,0,1265.6195,2319.99,185.5992,57.9998
477,2012-12-31,2013-01-12,2013-01-18,11402,7,SO51228,1,4.99,4.99,0,1.8663,4.99,0.3992,0.1248
478,2012-12-31,2013-01-12,2013-01-19,11402,7,SO51228,1,9.99,9.99,0,3.7363,9.99,0.7992,0.2498
487,2012-12-31,2013-01-12,2013-01-20,11402,7,SO51228,1,54.99,54.99,0,20.5663,54.99,4.3992,1.3748
225,2012-12-31,2013-01-12,2013-01-21,11402,7,SO51228,1,8.99,8.99,0,6.9223,8.99,0.7192,0.2248
378,2012-12-31,2013-01-12,2013-01-22,20038,4,SO51229,1,2443.35,2443.35,0,1554.9479,2443.35,195.468,61.0838
359,2012-12-31,2013-01-12,2013-01-23,11292,4,SO51230,1,2294.99,2294.99,0,1251.9813,2294.99,183.5992,57.3748
485,2012-12-31,2013-01-12,2013-01-24,11292,4,SO51230,1,21.98,21.98,0,8.2205,21.98,1.7584,0.5495
477,2012-12-31,2013-01-12,2013-01-25,11292,4,SO51230,1,4.99,4.99,0,1.8663,4.99,0.3992,0.1248
478,2012-12-31,2013-01-12,2013-01-26,11292,4,SO51230,1,9.99,9.99,0,3.7363,9.99,0.7992,0.2498
